stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
DIS,176.28948974609375,17,172.07275390625,-71.68450927734375,2021-01-04,2021-01-14
DIS,170.09832763671875,17,161.754150390625,-141.85101318359375,2021-01-15,2021-01-27
MCD,188.80784606933594,14,194.86044311523438,84.73635864257812,2021-01-28,2021-02-17
AXP,122.52196502685547,23,130.71295166015625,188.39269256591797,2021-02-18,2021-02-25
TRV,133.74313354492188,22,144.94866943359375,246.52178955078125,2021-02-26,2021-03-18
INTC,57.99052810668945,57,57.73585891723633,-14.516143798828125,2021-03-19,2021-03-23
AMGN,218.1487274169922,15,221.95233154296875,57.05406188964844,2021-03-24,2021-03-30
WMT,42.98041534423828,77,44.54990005493164,120.85032272338867,2021-03-31,2021-04-20
DIS,181.677001953125,19,180.24826049804688,-27.146087646484375,2021-04-21,2021-05-11
TRV,142.10198974609375,24,148.70111083984375,158.37890625,2021-05-12,2021-06-01
JNJ,150.4667205810547,23,146.64617919921875,-87.87245178222656,2021-06-02,2021-06-18
MMM,140.4826202392578,25,143.91534423828125,85.81809997558594,2021-06-21,2021-07-12
CSCO,48.252532958984375,74,50.18010330200195,142.64020538330078,2021-07-13,2021-08-02
MMM,144.6709442138672,25,141.41815185546875,-81.31980895996094,2021-08-03,2021-08-18
BA,212.16000366210938,17,216.5,73.77993774414062,2021-08-19,2021-08-26
TRV,150.6516876220703,24,146.66444396972656,-95.69384765625,2021-08-27,2021-09-07
MMM,136.2469482421875,26,132.2803955078125,-103.13037109375,2021-09-08,2021-09-14
MRK,66.70092010498047,52,74.5701904296875,409.2020568847656,2021-09-15,2021-10-01
MRK,76.12755584716797,51,73.89228057861328,-113.99903869628906,2021-10-04,2021-10-06
AMGN,188.59646606445312,20,182.07601928710938,-130.408935546875,2021-10-07,2021-10-12
KO,49.175289154052734,75,50.861610412597656,126.47409439086914,2021-10-13,2021-11-02
TRV,149.77182006835938,25,146.26698303222656,-87.62092590332031,2021-11-03,2021-11-04
TRV,149.16432189941406,25,145.82772827148438,-83.41484069824219,2021-11-05,2021-11-18
MMM,131.02491760253906,27,128.312744140625,-73.22868347167969,2021-11-19,2021-11-26
HD,375.3094787597656,9,375.3981018066406,0.797607421875,2021-11-29,2021-12-13
AAPL,171.5203399658203,20,169.4837188720703,-40.732421875,2021-12-14,2021-12-16
BA,192.6300048828125,18,188.47999572753906,-74.70016479492188,2021-12-17,2021-12-20
